[Global]
  start time        : 2020-05-24 02:49:09
  duration (s)      : 1581
  active nodes      : 10
  messages sent     : 446 
  messages received : 429 (96%)
  messages lost     : 17 
  rcv duration (s)  : 0, 545, 42 (min, max, avg) 

[Nodes]
---------------------------------------------------------------------------------------------------------
    NodeId    duration (s)   sndEvts   nbRcv/total   minNhb   maxNhb   outCon    inCon   rcvDuration (s)
---------------------------------------------------------------------------------------------------------
     dmis01      1319          47         38/39         1        5         13       23    (0, 275, 72)
     dmis05      1380          43         38/42         1        6         24       22    (0, 251, 54)
     dmis08      1410          41         48/50         1        6         28       30    (0, 186, 26)
     dmis09      1350          40         39/42         1        7         26       18    (0, 205, 29)
     dmis12      1380          51         53/53         1        5         21       31    (0, 199, 42)
     dmis13      1380          48         45/46         1        7         26       29    (0, 545, 53)
     dmis14      1349          41         42/42         1        6         36       23    (0, 151, 28)
     dmis17      1290          37         32/37         1        4         23       21    (0, 128, 31)
     dmis18      1379          49         36/37         1        5         22       19    (0, 212, 49)
     dmis20      1379          49         58/58         1        9         19       22    (0, 211, 41)

[Messages]
-----------------------------------------------------------------------------------------------------------------------------
        MessageId             src           dst         sndStep         rcvStep     rcvDuration (s)   sndTime     rcvTime
-----------------------------------------------------------------------------------------------------------------------------
     RcoGYfzZrHVNFuYV        dmis08        dmis09         11000           11000            0          02:49:20    02:49:20
     jGYIhPjubHwlaPmS        dmis09        dmis08         15000           15000            0          02:49:24    02:49:24
     qQlHHomhpBzYHTNQ        dmis09        dmis08         16000           16000            0          02:49:25    02:49:25
     zLbjAMfduCpWrBOH        dmis09        dmis08         19000           19000            0          02:49:28    02:49:28
     VEJpgSmytBWSTKAL        dmis08        dmis09         20000           20000            0          02:49:29    02:49:29
     IosOIgnbIjwBwyOL        dmis08        dmis09         22000           22000            0          02:49:31    02:49:31
     pqrnvsOpaJcheCFB        dmis08        dmis09         22000           22000            0          02:49:31    02:49:31
     TBRArdkHgJhNCUgD        dmis09        dmis08         22000           22000            0          02:49:31    02:49:31
     RRYcuuxIAIuuYeDB        dmis05        dmis09         28000           54000           26          02:49:37    02:50:03
     FJMIvSLPuCnnGDUz        dmis09        dmis18         29000          130000          101          02:49:38    02:51:19
     OIALapaaYEKEhpfP        dmis08        dmis18         34000           91000           57          02:49:43    02:50:40
     QGBSTCAzzjMoFVdw        dmis05        dmis18         35000           91000           56          02:49:44    02:50:40
